budget,revenue,runtime,popularity,vote_count,vote_average,profit
30000000,373554033.0,81.0,21.946943,5415.0,7.7,343554033.0
65000000,262797249.0,104.0,17.015539,2413.0,6.9,197797249.0
0,0.0,101.0,11.7129,92.0,6.5,0.0
16000000,81452156.0,127.0,3.859495,34.0,6.1,65452156.0
0,76578911.0,106.0,8.387519,173.0,5.7,76578911.0
60000000,187436818.0,170.0,17.924927,1886.0,7.7,127436818.0
58000000,0.0,127.0,6.677277,141.0,6.2,-58000000.0
0,0.0,97.0,2.561161,45.0,5.4,0.0
35000000,64350171.0,106.0,5.23158,174.0,5.5,29350171.0
58000000,352194034.0,130.0,14.686036,1194.0,6.6,294194034.0
62000000,107879496.0,106.0,6.318445,199.0,6.5,45879496.0
0,0.0,88.0,5.430331,210.0,5.7,0.0
0,11348324.0,78.0,12.140733,423.0,7.1,11348324.0
44000000,13681765.0,192.0,5.092,72.0,7.1,-30318235.0
98000000,10017322.0,119.0,7.284477,137.0,5.7,-87982678.0
52000000,116112375.0,178.0,10.137389,1343.0,7.8,64112375.0
16500000,135000000.0,136.0,10.673167,364.0,7.2,118500000.0
4000000,4300000.0,98.0,9.026586,539.0,6.5,300000.0
30000000,212385533.0,90.0,8.205448,1128.0,6.1,182385533.0
60000000,35431113.0,103.0,7.337906,224.0,5.4,-24568887.0
30250000,115101622.0,105.0,12.669608,305.0,6.4,84851622.0
0,0.0,124.0,10.701801,199.0,6.5,0.0
50000000,30303072.0,132.0,11.065939,394.0,6.0,-19696928.0
0,0.0,111.0,12.133094,143.0,6.3,0.0
3600000,49800000.0,112.0,10.332025,365.0,7.1,46200000.0
0,0.0,123.0,1.845899,33.0,7.0,0.0
12000000,27400000.0,100.0,8.681325,91.0,6.6,15400000.0
0,0.0,104.0,2.228434,36.0,7.4,0.0
18000000,1738611.0,108.0,9.822423,308.0,7.6,-16261389.0
0,0.0,108.0,1.100915,17.0,6.5,0.0
0,180000000.0,99.0,9.481338,249.0,6.4,180000000.0
29500000,168840000.0,129.0,12.297305,2470.0,7.4,139340000.0
0,0.0,50.0,0.745542,4.0,6.8,0.0
30000000,254134910.0,89.0,14.404764,756.0,6.0,224134910.0
0,0.0,121.0,1.493361,16.0,6.4,0.0
11000000,39363635.0,122.0,6.891317,350.0,7.3,28363635.0
0,0.0,51.0,0.114469,2.0,3.5,0.0
0,0.0,101.0,7.777735,149.0,6.1,0.0
12000000,0.0,97.0,9.882383,828.0,6.9,-12000000.0
0,676525.0,106.0,0.894647,13.0,6.7,676525.0
0,0.0,104.0,4.561387,50.0,6.9,0.0
10000000,0.0,119.0,9.87957,80.0,6.6,-10000000.0
19000000,0.0,117.0,10.979269,30.0,6.3,-19000000.0
18000000,122195920.0,101.0,10.870138,452.0,5.4,104195920.0
20000000,21284514.0,106.0,10.448481,177.0,6.7,1284514.0
10000000,23574130.0,116.0,4.485958,38.0,6.5,13574130.0
33000000,327311859.0,127.0,18.45743,5915.0,8.1,294311859.0
55000000,346079773.0,81.0,13.280069,1509.0,6.7,291079773.0
0,0.0,96.0,3.302524,10.0,5.9,0.0
6000000,23341568.0,106.0,16.302466,3334.0,8.1,17341568.0
0,0.0,93.0,0.595949,3.0,6.3,0.0
15000000,6700000.0,95.0,15.899134,145.0,6.7,-8300000.0
0,0.0,116.0,1.361286,11.0,7.7,0.0
0,0.0,100.0,5.982764,41.0,5.2,0.0
0,0.0,115.0,4.093443,15.0,6.1,0.0
0,0.0,89.0,0.307075,1.0,3.0,0.0
0,17519169.0,103.0,8.416802,39.0,6.3,17519169.0
0,0.0,108.0,10.168437,181.0,7.6,0.0
0,0.0,100.0,0.120789,2.0,6.5,0.0
45000000,0.0,96.0,10.673296,136.0,5.9,-45000000.0
20000000,0.0,101.0,4.733526,65.0,5.8,-20000000.0
0,106269971.0,137.0,7.137117,115.0,6.9,106269971.0
0,0.0,89.0,11.700115,192.0,6.2,0.0
0,0.0,96.0,2.174487,14.0,4.5,0.0
15000000,0.0,88.0,6.387469,110.0,4.4,-15000000.0
0,2409225.0,92.0,2.49535,32.0,2.8,2409225.0
0,0.0,85.0,4.046208,11.0,5.4,0.0
0,0.0,95.0,2.518051,43.0,6.0,0.0
3500000,28215918.0,91.0,14.56965,513.0,7.0,24715918.0
19000000,25836616.0,108.0,15.339153,1644.0,6.9,6836616.0
50000000,11534477.0,91.0,5.912223,54.0,4.1,-38465523.0
0,718490.0,96.0,3.367276,36.0,7.0,718490.0
0,0.0,175.0,1.479446,8.0,6.6,0.0
0,19030691.0,87.0,10.412194,27.0,5.1,19030691.0
15000000,2042530.0,90.0,2.936443,16.0,3.9,-12957470.0
20000000,5781885.0,108.0,12.758848,154.0,6.1,-14218115.0
0,0.0,70.0,0.133893,3.0,7.3,0.0
0,0.0,111.0,5.756462,74.0,6.1,0.0
44000000,0.0,118.0,6.010579,91.0,5.5,-44000000.0
0,0.0,85.0,1.196256,20.0,7.5,0.0
8000000,529766.0,116.0,4.486179,87.0,6.7,-7470234.0
900000,0.0,102.0,2.030174,26.0,7.2,-900000.0
0,0.0,115.0,0.252287,2.0,4.5,0.0
